NAICS_TITLE,A_MEAN
"Colleges, Universities, and Professional Schools","70,720"
"Colleges, Universities, and Professional Schools","69,970"
"Colleges, Universities, and Professional Schools","75,290"
"Colleges, Universities, and Professional Schools","78,990"
"Colleges, Universities, and Professional Schools","56,840"
"Colleges, Universities, and Professional Schools","94,230"
"Colleges, Universities, and Professional Schools","76,930"
"Colleges, Universities, and Professional Schools","81,550"
"Colleges, Universities, and Professional Schools","76,930"
"Colleges, Universities, and Professional Schools","81,550"
"Colleges, Universities, and Professional Schools","68,920"
"Colleges, Universities, and Professional Schools","73,410"
"Colleges, Universities, and Professional Schools","67,670"
"Colleges, Universities, and Professional Schools","63,950"
"Colleges, Universities, and Professional Schools","70,860"
Business Schools and Computer and Management Training,"67,890"
Business Schools and Computer and Management Training,"164,550"
Business Schools and Computer and Management Training,"92,520"
Business Schools and Computer and Management Training,"111,880"
Business Schools and Computer and Management Training,"111,880"
Business Schools and Computer and Management Training,"68,680"
Business Schools and Computer and Management Training,"164,550"
Business Schools and Computer and Management Training,"92,400"
Business Schools and Computer and Management Training,"115,280"
Business Schools and Computer and Management Training,"115,280"
Technical and Trade Schools,"55,190"
Technical and Trade Schools,"77,850"
Technical and Trade Schools,"69,170"
Technical and Trade Schools,"69,170"
Technical and Trade Schools,"54,790"
Technical and Trade Schools,"77,930"
Technical and Trade Schools,"71,200"
Technical and Trade Schools,"71,200"
Other Schools and Instruction,"58,160"
Other Schools and Instruction,"87,200"
Other Schools and Instruction,"87,200"
Other Schools and Instruction,"58,160"
Other Schools and Instruction,"86,130"
Other Schools and Instruction,"86,130"
Educational Support Services,"86,190"
Educational Support Services,"79,510"
Educational Support Services,"82,580"
Educational Support Services,"106,520"
Educational Support Services,"106,520"
Educational Support Services,"85,930"
Educational Support Services,"79,730"
Educational Support Services,"82,580"
Educational Support Services,"106,640"
Educational Support Services,"106,640"
Ambulatory Health Care Services,"66,260"
Ambulatory Health Care Services,"80,640"
Ambulatory Health Care Services,"82,870"
Ambulatory Health Care Services,"91,720"
Ambulatory Health Care Services,"91,720"
Ambulatory Health Care Services,"98,130"
Offices of Physicians,"60,530"
Offices of Physicians,"81,960"
Offices of Physicians,"71,470"
Offices of Physicians,"77,670"
Offices of Physicians,"77,670"
Offices of Physicians,"103,750"
Offices of Dentists,"55,510"
Offices of Other Health Practitioners,"96,230"
Offices of Other Health Practitioners,"96,230"
"Offices of Physical, Occupational and Speech Therapists, and Audiologists","112,720"
"Offices of Physical, Occupational and Speech Therapists, and Audiologists","112,720"
Outpatient Care Centers,"72,690"
Outpatient Care Centers,"82,530"
Outpatient Care Centers,"109,320"
Outpatient Care Centers,"90,050"
Outpatient Care Centers,"90,050"
Outpatient Care Centers,"143,680"
Outpatient Mental Health and Substance Abuse Centers,"67,540"
Outpatient Mental Health and Substance Abuse Centers,"64,520"
Outpatient Mental Health and Substance Abuse Centers,"73,110"
Outpatient Mental Health and Substance Abuse Centers,"73,110"
Medical and Diagnostic Laboratories,"91,560"
Medical and Diagnostic Laboratories,"81,450"
Medical and Diagnostic Laboratories,"108,270"
Medical and Diagnostic Laboratories,"117,790"
Medical and Diagnostic Laboratories,"117,790"
Medical and Diagnostic Laboratories,"88,070"
Home Health Care Services,"69,580"
Home Health Care Services,"95,210"
Home Health Care Services,"95,210"
Other Ambulatory Health Care Services,"64,950"
Other Ambulatory Health Care Services,"101,330"
Other Ambulatory Health Care Services,"101,330"
All Other Ambulatory Health Care Services,"67,180"
All Other Ambulatory Health Care Services,"101,290"
All Other Ambulatory Health Care Services,"101,290"
Hospitals,"62,360"
Hospitals,"78,740"
Hospitals,"93,990"
Hospitals,"91,630"
Hospitals,"91,630"
Hospitals,"78,220"
Hospitals,"88,050"
Hospitals,"78,500"
Hospitals,"60,450"
Hospitals,"60,990"
Hospitals,"89,800"
Hospitals,"81,450"
Hospitals,"75,400"
Hospitals,"93,620"
Hospitals,"90,350"
Hospitals,"94,330"
Hospitals,"104,250"
Hospitals,"85,750"
Hospitals,"90,760"
Hospitals,"104,250"
Hospitals,"85,750"
Hospitals,"90,760"
Hospitals,"74,590"
Hospitals,"73,470"
Hospitals,"89,240"
General Medical and Surgical Hospitals,"62,540"
General Medical and Surgical Hospitals,"79,010"
General Medical and Surgical Hospitals,"93,440"
General Medical and Surgical Hospitals,"91,000"
General Medical and Surgical Hospitals,"91,000"
General Medical and Surgical Hospitals,"78,220"
General Medical and Surgical Hospitals,"89,060"
General Medical and Surgical Hospitals,"80,190"
General Medical and Surgical Hospitals,"60,450"
General Medical and Surgical Hospitals,"61,310"
General Medical and Surgical Hospitals,"93,690"
General Medical and Surgical Hospitals,"81,650"
General Medical and Surgical Hospitals,"74,960"
General Medical and Surgical Hospitals,"85,600"
General Medical and Surgical Hospitals,"89,050"
General Medical and Surgical Hospitals,"94,380"
General Medical and Surgical Hospitals,"105,210"
General Medical and Surgical Hospitals,"85,750"
General Medical and Surgical Hospitals,"89,920"
General Medical and Surgical Hospitals,"105,210"
General Medical and Surgical Hospitals,"85,750"
General Medical and Surgical Hospitals,"89,920"
General Medical and Surgical Hospitals,"74,590"
General Medical and Surgical Hospitals,"88,540"
Psychiatric and Substance Abuse Hospitals,"63,500"
Psychiatric and Substance Abuse Hospitals,"52,550"
Psychiatric and Substance Abuse Hospitals,"71,360"
Psychiatric and Substance Abuse Hospitals,"57,790"
Psychiatric and Substance Abuse Hospitals,"51,750"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"56,010"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"91,070"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"102,240"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"110,040"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"110,040"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"53,860"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"94,030"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"96,410"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"112,040"
Specialty (except Psychiatric and Substance Abuse) Hospitals,"112,040"
Nursing and Residential Care Facilities,"80,210"
Nursing and Residential Care Facilities,"72,290"
Nursing and Residential Care Facilities,"72,290"
Nursing Care Facilities (Skilled Nursing Facilities),"90,300"
Nursing Care Facilities (Skilled Nursing Facilities),"85,370"
Nursing Care Facilities (Skilled Nursing Facilities),"85,370"
"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities","52,490"
Residential Mental Health and Substance Abuse Facilities,"52,170"
Other Residential Care Facilities,"62,030"
Other Residential Care Facilities,"62,030"
Social Assistance,"54,440"
Social Assistance,"55,540"
Social Assistance,"61,490"
Social Assistance,"73,560"
Social Assistance,"73,560"
Social Assistance,"63,600"
Individual and Family Services,"53,870"
Individual and Family Services,"55,100"
Individual and Family Services,"59,240"
Individual and Family Services,"74,830"
Individual and Family Services,"74,830"
Individual and Family Services,"63,600"
Services for the Elderly and Persons with Disabilities,"50,240"
Services for the Elderly and Persons with Disabilities,"71,850"
Services for the Elderly and Persons with Disabilities,"71,850"
"Community Food and Housing, and Emergency and Other Relief Services","58,630"
"Community Food and Housing, and Emergency and Other Relief Services","60,330"
"Community Food and Housing, and Emergency and Other Relief Services","77,520"
"Community Food and Housing, and Emergency and Other Relief Services","77,520"
Vocational Rehabilitation Services,"64,270"
Vocational Rehabilitation Services,"64,270"
"Performing Arts, Spectator Sports, and Related Industries","72,420"
"Performing Arts, Spectator Sports, and Related Industries","71,380"
"Performing Arts, Spectator Sports, and Related Industries","87,120"
"Performing Arts, Spectator Sports, and Related Industries","87,120"
Spectator Sports,"66,750"
Spectator Sports,"70,880"
Spectator Sports,"89,760"
Spectator Sports,"89,760"
"Promoters of Performing Arts, Sports, and Similar Events","88,920"
"Promoters of Performing Arts, Sports, and Similar Events","78,010"
"Promoters of Performing Arts, Sports, and Similar Events","78,010"
"Independent Artists, Writers, and Performers","59,870"
"Museums, Historical Sites, and Similar Institutions","68,370"
"Museums, Historical Sites, and Similar Institutions","68,370"
"Museums, Historical Sites, and Similar Institutions","54,730"
"Museums, Historical Sites, and Similar Institutions","68,370"
"Museums, Historical Sites, and Similar Institutions","68,370"
"Museums, Historical Sites, and Similar Institutions","54,730"
"Amusement, Gambling, and Recreation Industries","64,830"
"Amusement, Gambling, and Recreation Industries","97,460"
"Amusement, Gambling, and Recreation Industries","97,460"
Gambling Industries,"67,010"
Gambling Industries,"98,050"
Gambling Industries,"98,050"
Accommodation,"68,840"
Accommodation,"81,260"
Accommodation,"81,260"
Traveler Accommodation,"64,730"
Traveler Accommodation,"81,260"
Traveler Accommodation,"81,260"
Casino Hotels,"58,410"
Food Services and Drinking Places,"83,820"
Repair and Maintenance,"73,180"
Repair and Maintenance,"80,110"
Repair and Maintenance,"97,380"
Repair and Maintenance,"97,380"
Automotive Repair and Maintenance,"68,170"
Electronic and Precision Equipment Repair and Maintenance,"71,310"
Electronic and Precision Equipment Repair and Maintenance,"89,360"
Electronic and Precision Equipment Repair and Maintenance,"89,360"
Personal and Laundry Services,"45,130"
Personal and Laundry Services,"125,370"
Personal and Laundry Services,"125,370"
Personal Care Services,"133,370"
Personal Care Services,"133,370"
Other Personal Services,"45,110"
Other Personal Services,"119,950"
Other Personal Services,"119,950"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","86,990"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","81,500"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","96,150"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","86,630"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","86,630"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations","62,100"
Religious Organizations,"75,150"
Religious Organizations,"75,150"
Grantmaking and Giving Services,"78,540"
Grantmaking and Giving Services,"81,280"
Grantmaking and Giving Services,"89,530"
Grantmaking and Giving Services,"93,360"
Grantmaking and Giving Services,"93,360"
Grantmaking and Giving Services,"83,360"
Social Advocacy Organizations,"83,290"
Social Advocacy Organizations,"87,660"
Social Advocacy Organizations,"88,230"
Social Advocacy Organizations,"81,910"
Social Advocacy Organizations,"81,910"
Social Advocacy Organizations,"55,940"
Civic and Social Organizations,"61,240"
Civic and Social Organizations,"65,360"
Civic and Social Organizations,"65,360"
"Business, Professional, Labor, Political, and Similar Organizations","99,310"
"Business, Professional, Labor, Political, and Similar Organizations","81,940"
"Business, Professional, Labor, Political, and Similar Organizations","99,610"
"Business, Professional, Labor, Political, and Similar Organizations","93,970"
"Business, Professional, Labor, Political, and Similar Organizations","93,970"
Labor Unions and Similar Labor Organizations,"67,900"
Labor Unions and Similar Labor Organizations,"99,930"
Labor Unions and Similar Labor Organizations,"99,930"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","87,220"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","95,590"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","103,520"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","82,840"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","82,840"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","67,920"
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","87,000"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","83,320"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","91,040"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","97,520"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","83,980"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","83,980"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","68,390"
"Federal, state, and local government, including government-owned schools and hospitals, and the U.S. Postal Service","85,120"
Federal Executive Branch (OES Designation),"92,610"
Federal Executive Branch (OES Designation),"126,190"
Federal Executive Branch (OES Designation),"120,060"
Federal Executive Branch (OES Designation),"117,860"
Federal Executive Branch (OES Designation),"117,860"
Federal Executive Branch (OES Designation),"69,660"
Federal Executive Branch (OES Designation),"92,430"
"Federal government, including the US Postal Service","92,630"
"Federal government, including the US Postal Service","125,340"
"Federal government, including the US Postal Service","119,110"
"Federal government, including the US Postal Service","117,860"
"Federal government, including the US Postal Service","117,860"
"Federal government, including the US Postal Service","69,660"
"Federal government, including the US Postal Service","92,430"
"State Government, excluding schools and hospitals (OES Designation)","66,580"
"State Government, excluding schools and hospitals (OES Designation)","58,100"
"State Government, excluding schools and hospitals (OES Designation)","67,380"
"State Government, excluding schools and hospitals (OES Designation)","83,360"
"State Government, excluding schools and hospitals (OES Designation)","83,360"
"State Government, excluding schools and hospitals (OES Designation)","61,150"
"State Government, excluding schools and hospitals (OES Designation)","50,080"
"State government, including schools and hospitals","65,880"
"State government, including schools and hospitals","63,870"
"State government, including schools and hospitals","73,650"
"State government, including schools and hospitals","81,660"
"State government, including schools and hospitals","81,660"
"State government, including schools and hospitals","63,640"
"State government, including schools and hospitals","58,030"
"Local Government, excluding schools and hospitals (OES Designation)","65,150"
"Local Government, excluding schools and hospitals (OES Designation)","86,710"
"Local Government, excluding schools and hospitals (OES Designation)","83,040"
"Local Government, excluding schools and hospitals (OES Designation)","80,520"
"Local Government, excluding schools and hospitals (OES Designation)","80,520"
"Local Government, excluding schools and hospitals (OES Designation)","87,420"
"Local government, including schools and hospitals","63,590"
"Local government, including schools and hospitals","82,530"
"Local government, including schools and hospitals","80,410"
"Local government, including schools and hospitals","88,140"
"Local government, including schools and hospitals","88,140"
"Local government, including schools and hospitals","82,010"
"Local government, including schools and hospitals","82,930"
Manufacturing,"106,090"
Manufacturing,"111,940"
Manufacturing,"137,790"
Manufacturing,"117,110"
Manufacturing,"117,110"
Manufacturing,"139,110"
Manufacturing,"129,990"
"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)","111,270"
"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)","105,000"
"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)","104,890"
"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)","104,890"
Chemical Manufacturing (3255 and 3256 only),"69,960"
Chemical Manufacturing (3255 and 3256 only),"114,380"
Chemical Manufacturing (3255 and 3256 only),"114,380"
"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)","77,890"
"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)","82,730"
"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)","84,820"
"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)","84,820"
Fabricated Metal Product Manufacturing (3323 and 3324 only),"85,830"
Fabricated Metal Product Manufacturing (3323 and 3324 only),"81,980"
Fabricated Metal Product Manufacturing (3323 and 3324 only),"81,980"
"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)","74,850"
"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)","104,830"
"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)","94,070"
"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)","94,070"
Furniture and Related Product Manufacturing (3371 and 3372 only),"78,490"
Furniture and Related Product Manufacturing (3371 and 3372 only),"78,490"
"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)","78,560"
"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)","103,180"
"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)","94,550"
"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)","94,550"
"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)","80,160"
"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)","80,270"
"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)","92,450"
"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)","92,450"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","97,560"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","78,960"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","144,280"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","120,110"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","120,110"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","108,150"
"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)","82,300"
"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)","101,080"
"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)","93,970"
"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)","93,970"
Retail Trade,"122,200"
Retail Trade,"94,500"
Retail Trade,"93,360"
Retail Trade,"121,780"
Retail Trade,"121,780"
Food and Beverage Retailers (4451 and 4452 only),"41,900"
Food and Beverage Retailers (4451 and 4452 only),"66,950"
Food and Beverage Retailers (4451 and 4452 only),"66,950"
Miscellaneous Store Retailers (4594 and 4595 only),"116,030"
Miscellaneous Store Retailers (4594 and 4595 only),"116,030"
Transportation and Warehousing,"95,570"
Transportation and Warehousing,"95,570"
Credit Intermediation and Related Activities (5221 And 5223 only),"72,340"
Credit Intermediation and Related Activities (5221 And 5223 only),"84,100"
Credit Intermediation and Related Activities (5221 And 5223 only),"124,990"
Credit Intermediation and Related Activities (5221 And 5223 only),"120,520"
Credit Intermediation and Related Activities (5221 And 5223 only),"120,520"
"Rental and Leasing Services (5322, 5323, and 5324 only)","45,840"
"Rental and Leasing Services (5322, 5323, and 5324 only)","103,450"
"Rental and Leasing Services (5322, 5323, and 5324 only)","103,450"
